# local minimal position and the related energy gap
#        kx            ky            kz           gap             E            k1            k2            k3
    0.13157190   -0.00033100   -0.03725354    0.00000000    0.50043668    0.01186988   -0.07766257   -0.07740286
   -0.05223340   -0.09001477   -0.04011583    0.00249324    0.59143574   -0.07506092   -0.07488198   -0.00425507
   -0.05221321   -0.09001087   -0.04011301    0.00249327    0.59146765   -0.07504816   -0.07488141   -0.00425755
   -0.05243199    0.08979096   -0.04009436    0.00225582    0.59179521   -0.07512337   -0.00427038   -0.07472169
   -0.05223081   -0.09003069   -0.04011987    0.00249328    0.59139978   -0.07506491   -0.07489399   -0.00425458
   -0.05223144   -0.09002126   -0.04011789    0.00249325    0.59142158   -0.07506267   -0.07488762   -0.00425561
   -0.05223249   -0.09000953   -0.04011303    0.00249325    0.59145088   -0.07505691   -0.07487654   -0.00425373
   -0.05222463   -0.09001558   -0.04011233    0.00249325    0.59144652   -0.07505245   -0.07487980   -0.00425224
   -0.05222738   -0.09001924   -0.04011530    0.00249324    0.59143274   -0.07505752   -0.07488443   -0.00425400
   -0.05224491   -0.09002832   -0.04012300    0.00249330    0.59138729   -0.07507532   -0.07489388   -0.00425633
   -0.05222851   -0.09002125   -0.04011699    0.00249324    0.59142552   -0.07506018   -0.07488711   -0.00425511
   -0.05243891    0.08980130   -0.04009988    0.00225583    0.59176012   -0.07513357   -0.00427182   -0.07473125
   -0.05223362   -0.09002088   -0.04011984    0.00249326    0.59141820   -0.07506615   -0.07488947   -0.00425776
   -0.05222594   -0.09001860   -0.04011305    0.00249325    0.59143791   -0.07505397   -0.07488161   -0.00425169
   -0.05222620   -0.09000849   -0.04011127    0.00249325    0.59146135   -0.07505181   -0.07487531   -0.00425332
   -0.05242965    0.08979637   -0.04009577    0.00225583    0.59178460   -0.07512411   -0.00427059   -0.07472614
   -0.05243395    0.08979382   -0.04009592    0.00225582    0.59178541   -0.07512626   -0.00427082   -0.07472437
    0.05236292   -0.09023229    0.04009099    0.00216705    0.59102394    0.07508776    0.00410857    0.07490616
   -0.00796051   -0.01137626   -0.08853343    0.00325365    0.63261330   -0.11704151   -0.11609536   -0.10716938
   -0.05243745    0.08979986   -0.04009763    0.00225584    0.59176705   -0.07513003   -0.00426984   -0.07472813
   -0.05222827   -0.09001558   -0.04011301    0.00249325    0.59144210   -0.07505498   -0.07487986   -0.00425230
   -0.05223736   -0.09000935   -0.04011314    0.00249326    0.59144616   -0.07505926   -0.07487551   -0.00425284
   -0.00803660   -0.01120042   -0.08924995    0.00325707    0.63046442   -0.11799403   -0.11692720   -0.10813919
   -0.05242980    0.08979235   -0.04009731    0.00225582    0.59179149   -0.07512615   -0.00427411   -0.07472651
   -0.05243597    0.08978844   -0.04009447    0.00225582    0.59179632   -0.07512531   -0.00427060   -0.07471994
   -0.05223981   -0.09002212   -0.04011805    0.00249326    0.59141101   -0.07506667   -0.07488626   -0.00425358
   -0.05222638   -0.09002453   -0.04011743    0.00249325    0.59142015   -0.07505978   -0.07488945   -0.00425487
   -0.05244923    0.08978997   -0.04009908    0.00225583    0.59177441   -0.07513723   -0.00427291   -0.07472345
   -0.05244080    0.08979764   -0.04010053    0.00225582    0.59176533   -0.07513526   -0.00427367   -0.07473022
   -0.05244205    0.08979175   -0.04009674    0.00225582    0.59178053   -0.07513097   -0.00427083   -0.07472277
   -0.05244189    0.08979317   -0.04010098    0.00225583    0.59177329   -0.07513634   -0.00427575   -0.07472880
   -0.05221876   -0.09001375   -0.04011351    0.00249325    0.59145525   -0.07505132   -0.07488193   -0.00425581
   -0.05242839    0.08979725   -0.04009924    0.00225583    0.59178047   -0.07512799   -0.00427498   -0.07473122
   -0.05222101   -0.09001508   -0.04011413    0.00249324    0.59144946   -0.07505313   -0.07488274   -0.00425558
   -0.05222474   -0.09001112   -0.04011363    0.00249324    0.59145474   -0.07505417   -0.07487969   -0.00425564
   -0.05243993    0.08978965   -0.04009630    0.00225582    0.59178771   -0.07512945   -0.00427158   -0.07472187
   -0.05244008    0.08979524   -0.04010108    0.00225583    0.59177065   -0.07513565   -0.00427548   -0.07473015
   -0.05244608    0.08979494   -0.04010096    0.00225583    0.59176514   -0.07513821   -0.00427409   -0.07472852
